OBJECTID,BlockLot,PermitNum,NEIGHBOR,DateIssue,Converted,Year,Longitude,Latitude
1643261,7470S074,USE2020-52096,LAKELAND,5/22/20,5/22/20 0:00,2020,-76.64255237,39.25503714
1643275,7471 007,USE2019-55096,MOUNT WINANS,2/27/20,2/27/20 0:00,2020,-76.64233387,39.26100359
1643322,7472 039,USE2020-53238,MOUNT WINANS,8/6/20,8/6/20 0:00,2020,-76.64389461,39.26166715
1643513,7476 061,USE2020-50787,MOUNT WINANS,2/21/20,2/21/20 0:00,2020,-76.64725711,39.26116749
1643819,7491 030,USE2020-52686,LAKELAND,7/2/20,7/2/20 0:00,2020,-76.64804529,39.25703401
1644024,7492C198,USE2020-52744,LAKELAND,7/7/20,7/7/20 0:00,2020,-76.64763798,39.25376887
1644573,7612E053A,USE2020-51472,CHERRY HILL,5/6/20,5/6/20 0:00,2020,-76.63117313,39.25290495
1645326,7644 063,USE2019-50530,CHERRY HILL,3/3/20,3/3/20 0:00,2020,-76.62702145,39.24609671
1645500,7649A004,USE2020-53988,CHERRY HILL,9/11/20,9/11/20 0:00,2020,-76.62325218,39.25168793
1647013,7755 065J,USE2020-52098,MORRELL PARK,5/27/20,5/27/20 0:00,2020,-76.66162397,39.26370085
1647502,7779 003,USE2020-51908,MORRELL PARK,9/29/20,9/29/20 0:00,2020,-76.65321194,39.26640381
1647594,7798 002,USE2020-50849,MORRELL PARK,3/30/20,3/30/20 0:00,2020,-76.65444852,39.26529093
1648034,7841 013,USE2020-50127,MORRELL PARK,3/4/20,3/4/20 0:00,2020,-76.65121291,39.26742046
1648213,7841B006,USE2019-54671,MORRELL PARK,1/7/20,1/7/20 0:00,2020,-76.65167245,39.2670226
1648216,7841B009,USE2020-53500,MORRELL PARK,8/19/20,8/19/20 0:00,2020,-76.65177833,39.26693109
1648340,7841H029,USE2020-53294,MORRELL PARK,8/31/20,8/31/20 0:00,2020,-76.64936293,39.26555299
1649122,7898 014,USE2020-54743,SAINT PAUL,10/26/20,10/26/20 0:00,2020,-76.64491189,39.26773084
1649732,7958 020,USE2020-54191,ROGNEL HEIGHTS,10/13/20,10/13/20 0:00,2020,-76.69193042,39.29658292
